student_id,english,hindi,maths,science,sst,attendance
1,67,95,49,80,76,183
2,78,76,58,84,69,182
3,91,100,89,96,86,147
4,91,88,55,70,64,178
5,81,63,66,58,42,185
6,56,79,74,93,72,178
7,91,77,74,32,95,156
8,60,60,97,49,45,177
9,66,78,40,66,71,149
10,84,94,89,99,99,185
11,38,47,38,56,63,140
12,74,36,39,56,74,168
13,48,58,20,28,36,122
14,83,68,68,41,79,153
15,89,88,100,95,89,183
16,96,94,96,95,96,177
17,82,97,98,100,99,165
18,100,100,76,98,100,198
19,68,82,47,85,90,148
20,56,93,75,88,77,186
21,77,76,90,100,70,159
22,83,76,33,55,63,161
23,98,91,97,95,77,192
24,95,80,76,48,51,151
25,67,60,73,83,47,154
26,90,91,67,90,56,158
27,89,93,63,81,84,188
28,98,100,87,87,100,152
29,85,87,95,75,86,153
30,78,87,38,62,93,156
31,77,78,80,100,54,147
32,79,87,54,69,77,168
33,69,79,72,71,50,151
34,67,67,69,61,78,159
35,72,68,49,79,83,161
36,87,78,59,49,36,156
37,51,35,88,38,82,184
38,94,82,88,95,94,158
39,74,71,47,31,65,127
40,64,84,45,55,54,145
41,69,69,69,69,69,154
42,96,100,90,91,95,182
43,71,77,73,80,55,145
44,83,78,95,74,69,165
45,97,95,85,97,100,179
46,78,88,66,68,100,153
47,91,84,97,91,91,162
48,87,88,45,89,88,145
49,78,78,81,57,40,154
50,77,90,60,88,85,187
51,95,96,83,100,79,165
52,84,100,98,96,91,153
53,87,80,90,94,95,151
54,94,58,59,93,37,156
55,82,72,54,72,64,148
56,95,100,88,82,86,166
57,81,42,40,51,56,144
58,74,66,30,71,67,182
59,47,58,87,54,55,153
60,86,93,37,62,47,167
61,35,39,38,44,45,149
62,59,35,68,49,73,150
63,61,39,34,91,70,189
64,80,63,52,59,43,151
65,58,51,63,55,63,151
66,67,68,59,42,76,200
67,78,66,54,83,94,170
68,77,58,77,73,56,165
69,71,87,34,93,87,181
70,82,79,37,48,58,159
71,78,86,76,84,77,134
72,78,71,77,94,77,184
73,89,88,88,91,78,126
74,37,60,50,79,57,173
75,70,89,69,83,68,151
76,91,97,68,76,78,169
77,67,67,35,35,75,147
78,67,43,58,66,86,141
79,100,98,69,94,96,160
80,39,36,34,36,35,121
81,71,69,100,72,83,189
82,78,78,77,85,81,185
83,54,41,75,58,61,158
84,88,76,67,89,86,153
85,91,88,91,89,81,146
86,87,74,52,95,67,128
87,40,82,87,52,49,155
88,78,85,63,67,76,168
89,78,91,79,72,73,150
90,71,91,69,84,66,167
91,36,37,47,35,79,176
92,98,88,94,96,89,149
93,57,51,66,36,80,152
94,57,65,36,57,80,154
95,41,66,53,93,72,164
96,66,85,43,71,57,143
97,92,69,94,66,87,149
98,65,64,71,62,72,149
99,97,68,61,71,73,186
100,100,100,82,94,100,138
101,87,89,81,85,79,148
102,79,71,70,59,77,149
103,80,87,67,93,92,174
104,93,41,34,62,69,147
105,87,56,100,88,67,157
106,78,61,56,75,72,153
107,94,84,69,77,65,161
108,52,80,78,67,62,143
109,88,77,45,79,85,145
110,76,53,62,42,72,138
111,78,92,54,56,78,167
112,65,66,37,91,64,138
113,77,53,89,77,62,162
114,67,65,38,84,55,147
115,63,64,73,84,67,190
116,48,76,86,56,56,144
117,77,88,89,78,77,178
118,92,83,52,71,77,166
119,89,76,59,100,89,170
120,81,83,56,67,75,183
