student_id,fees_status
1,Unpaid
2,Unpaid
3,Unpaid
4,Unpaid
5,Unpaid
6,Unpaid
7,Paid
8,Unpaid
9,Unpaid
10,Paid
11,Unpaid
12,Unpaid
13,Paid
14,Unpaid
15,Unpaid
16,Unpaid
17,Paid
18,Unpaid
19,Paid
20,Paid
21,Paid
22,Paid
23,Paid
24,Unpaid
25,Unpaid
26,Unpaid
27,Paid
28,Paid
29,Paid
30,Unpaid
31,Unpaid
32,Paid
33,Paid
34,Paid
35,Paid
36,Unpaid
37,Paid
38,Unpaid
39,Unpaid
40,Paid
41,Unpaid
42,Unpaid
43,Paid
44,Unpaid
45,Unpaid
46,Paid
47,Unpaid
48,Unpaid
49,Unpaid
50,Paid
51,Paid
52,Paid
53,Unpaid
54,Unpaid
55,Paid
56,Unpaid
57,Unpaid
58,Unpaid
59,Paid
60,Unpaid
61,Unpaid
62,Paid
63,Unpaid
64,Unpaid
65,Paid
66,Paid
67,Unpaid
68,Unpaid
69,Unpaid
70,Paid
71,Paid
72,Paid
73,Paid
74,Unpaid
75,Unpaid
76,Unpaid
77,Paid
78,Unpaid
79,Paid
80,Unpaid
81,Paid
82,Unpaid
83,Unpaid
84,Paid
85,Unpaid
86,Unpaid
87,Unpaid
88,Unpaid
89,Paid
90,Paid
91,Paid
92,Unpaid
93,Paid
94,Unpaid
95,Paid
96,Unpaid
97,Unpaid
98,Paid
99,Paid
100,Paid
101,Unpaid
102,Unpaid
103,Unpaid
104,Unpaid
105,Paid
106,Paid
107,Paid
108,Unpaid
109,Paid
110,Paid
111,Paid
112,Unpaid
113,Paid
114,Paid
115,Unpaid
116,Unpaid
117,Unpaid
118,Unpaid
119,Paid
120,Unpaid
